country;receptor;s_year;s_month;s_day;start;e_year;e_month;e_day;end;leader;office;description;election_year;lame_duck;gdpcapita;external_balance
Brazil;China;2004;May;22;22/05/2004;2004;May;26;26/05/2004;Luiz Inácio Lula da Silva;President;Participation in the Brazil–China seminar.Meeting with PresidentHu Jintao.Meeting with local politicians and businessmen.Met withTanzanianPresidentBenjamin Mkapa.;0;0;3623,25;3,41327
Brazil;Mexico;2004;May;27;27/05/2004;2004;May;28;28/05/2004;Luiz Inácio Lula da Silva;President;Participated in the Meeting of Heads of State ofLatin Americaand theCaribbean–European Union.He met with several Heads of state, among themAleksander Kwa?niewski, President ofPoland.;0;0;3623,25;3,41327
Brazil;United States;2004;June;22;22/06/2004;2004;June;22;22/06/2004;Luiz Inácio Lula da Silva;President;Working visit.She met with local businessmen and politicians.;0;0;3623,25;3,41327
Brazil;Argentina;2004;July;8;08/07/2004;2004;July;8;08/07/2004;Luiz Inácio Lula da Silva;President;Participated in the Mercosurpresidential summit.Meeting with the Argentine president,Néstor Kirchner, with the president ofVenezuela,Hugo Chávezand with other Heads of state.;0;0;3623,25;3,41327
Brazil;Sao Tome and Principe;2004;July;26;26/07/2004;2004;July;27;27/07/2004;Luiz Inácio Lula da Silva;President;Participated in the presidential meeting ofCPLPHeads of state .;0;0;3623,25;3,41327
Brazil;Gabon;2004;July;27;27/07/2004;2004;July;28;28/07/2004;Luiz Inácio Lula da Silva;President;State visit.Meeting with PresidentOmar Bongo.;0;0;3623,25;3,41327
Brazil;Cape Green;2004;July;28;28/07/2004;2004;July;29;29/07/2004;Luiz Inácio Lula da Silva;President;State visit.Meeting with PresidentPedro Pires, Prime MinisterJosé Maria Nevesand the Brazilian community.He met with local politicians, thus ending the tour ofthe African continent.;0;0;3623,25;3,41327
Brazil;Bolivia;2004;August;11;11/08/2004;2004;August;11;11/08/2004;Luiz Inácio Lula da Silva;President;"Participated in the inauguration of the ""Wilson Pinheiro"" bridge that connects the two countries.";0;0;3623,25;3,41327
Brazil;Paraguay;2004;August;13;13/08/2004;2004;August;13;13/08/2004;Luiz Inácio Lula da Silva;President;Participated in the summit installation ceremony of the Permanent Court of Review of Mercosur.;0;0;3623,25;3,41327
Brazil;Dominican Republic;2004;August;15;15/08/2004;2004;August;18;18/08/2004;Luiz Inácio Lula da Silva;President;He participated in the inauguration ceremony of the country's new president,Leonel Fernández.He met with the President ofGuatemala,Óscar Berger.;0;0;3623,25;3,41327
Brazil;Haiti;2004;August;18;18/08/2004;2004;August;18;18/08/2004;Luiz Inácio Lula da Silva;President;State visit.Meeting with Prime MinisterGerard Latortueand PresidentBoniface Alexandre.Watched a soccer game betweenBrazilandHaiti.;0;0;3623,25;3,41327
Brazil;Chile;2004;August;23;23/08/2004;2004;August;24;24/08/2004;Luiz Inácio Lula da Silva;President;Working visit.Meeting with local and Brazilian politicians and businessmen.;0;0;3623,25;3,41327
Brazil;Ecuador;2004;August;24;24/08/2004;2004;August;25;25/08/2004;Luiz Inácio Lula da Silva;President;State visit.Meeting with PresidentLucio Gutiérrez.He received tributes and visited theHistoric Center of Quito.;0;0;3623,25;3,41327
Brazil;United States;2004;September;20;20/09/2004;2004;September;21;21/09/2004;Luiz Inácio Lula da Silva;President;Participated inthe United Nations General Assembly.Meetings with the Prime Minister ofSweden,Göran Persson, with the President ofFrance,Jacques Chiracand with other Heads of state and politicians. He also participated in the G4summit.;0;0;3623,25;3,41327
Brazil;Peru;2004;December;8;08/12/2004;2004;December;8;08/12/2004;Luiz Inácio Lula da Silva;President;Participated in the meeting with presidents ofSouth America.Meeting with Peruvian PresidentAlejandro Toledo.;0;0;3623,25;3,41327
Brazil;Colombia;2005;January;19;19/01/2005;2005;January;19;19/01/2005;Luiz Inácio Lula da Silva;President;Working visit.Meeting with PresidentÁlvaro Uribe.;1;0;4773,25;0,34009
Brazil;Venezuela;2005;February;13;13/02/2005;2005;February;14;14/02/2005;Luiz Inácio Lula da Silva;President;State visit.Meeting with PresidentHugo Chávez.He met with Brazilian and Venezuelan businessmen.;1;0;4773,25;0,34009
Brazil;Guyana;2005;February;15;15/02/2005;2005;February;15;15/02/2005;Luiz Inácio Lula da Silva;President;State visit.Meeting with PresidentBharrat Jagdeo.Met with local politicians.;1;0;4773,25;0,34009
Brazil;Suriname;2005;February;15;15/02/2005;2005;February;16;16/02/2005;Luiz Inácio Lula da Silva;President;State visit.Meeting with PresidentRonald Venetiaan.Participated in the CARICOMConference of Heads of State.;1;0;4773,25;0,34009
Brazil;Uruguay;2005;March;1;01/03/2005;2005;March;2;02/03/2005;Luiz Inácio Lula da Silva;President;He participated in the inauguration ceremony of the country's new president,Tabaré Vázquez.He met with the presidents ofChile,Alejandro Toledo,Argentina,Néstor KirchnerandVenezuela,Hugo Chávez.;1;0;4773,25;0,34009
Brazil;Venezuela;2005;March;29;29/03/2005;2005;March;29;29/03/2005;Luiz Inácio Lula da Silva;President;Official visit.Meeting with PresidentHugo Chávez.;1;0;4773,25;0,34009
Brazil;Vatican;2005;April;8;08/04/2005;2005;April;8;08/04/2005;Luiz Inácio Lula da Silva;President;He participated in the funeral rites forPopeJohn Paul II.;1;0;4773,25;0,34009
Brazil;Italy;2005;April;8;08/04/2005;2005;April;10;10/04/2005;Luiz Inácio Lula da Silva;President;Meetings with the presidents ofAustria,Heinz Fischer, andMozambique,Armando Guebuza.He also met with local politicians.;1;0;4773,25;0,34009
Brazil;Cameroon;2005;April;10;10/04/2005;2005;April;11;11/04/2005;Luiz Inácio Lula da Silva;President;Official visit.Meeting and dinner with PresidentPaul Biya.;1;0;4773,25;0,34009
Brazil;Nigeria;2005;April;11;11/04/2005;2005;April;12;12/04/2005;Luiz Inácio Lula da Silva;President;State visit.Meeting with PresidentOlusegun Obasanjo.Meeting with businessmen and local politicians.;1;0;4773,25;0,34009
Brazil;Ghana;2005;April;12;12/04/2005;2005;April;13;13/04/2005;Luiz Inácio Lula da Silva;President;State visit.Meeting with PresidentJohn Kufuor.Meeting with Brazilian and Ghanaian politicians and businessmen.;1;0;4773,25;0,34009
Brazil;Guinea Bissau;2005;April;13;13/04/2005;2005;April;13;13/04/2005;Luiz Inácio Lula da Silva;President;Brief state visit.Meeting with PresidentHenrique Rosa, with the country's Prime Minister,Carlos Gomes Júniorand with local politicians.;1;0;4773,25;0,34009
Brazil;Senegal;2005;April;13;13/04/2005;2005;April;14;14/04/2005;Luiz Inácio Lula da Silva;President;State visit.Private meeting and dinner with PresidentAbdoulaye Wade.It paid tribute Senegalese soldiers killed in theFirstandSecond World War.;1;0;4773,25;0,34009
Brazil;South Korea;2005;May;23;23/05/2005;2005;May;25;25/05/2005;Luiz Inácio Lula da Silva;President;State visit.Meeting with PresidentRoh Moo-Hyun.He participated in the Brazil-Korea Seminar and met with politicians and businessmen.He visited the National Assembly of that country.;1;0;4773,25;0,34009
Brazil;Japan;2005;May;26;26/05/2005;2005;May;28;28/05/2005;Luiz Inácio Lula da Silva;President;State visit.Meeting with Prime MinisterJunichiro Koizumi.Visit parliament and official meeting with EmperorAkihito.Meetings with Japanese businessmen and the Brazilian community.;1;0;4773,25;0,34009
Brazil;Paraguay;2005;June;19;19/06/2005;2005;June;20;20/06/2005;Luiz Inácio Lula da Silva;President;Participated in the summit meeting ofMercosurHeads of State .Meeting with Paraguayan PresidentNicanor Duarte.;1;0;4773,25;0,34009
Brazil;United Kingdom;2005;July;7;07/07/2005;2005;July;7;07/07/2005;Luiz Inácio Lula da Silva;President;Participated in the G8 and G4 summit meetings.;1;0;4773,25;0,34009
Brazil;France;2005;July;12;12/07/2005;2005;July;15;15/07/2005;Luiz Inácio Lula da Silva;President;Met with French businessmen.He participated in the celebrations of the French National Day.Meetings with PresidentJacques Chiracand Prime MinisterDominique de Villepin.;1;0;4773,25;0,34009
Brazil;Peru;2005;September;8;08/09/2005;2005;September;8;08/09/2005;Luiz Inácio Lula da Silva;President;He participated in the opening ceremony for the works on the interoceanic highway.Trilateral meeting with Peruvian PresidentAlan GarcíaandBolivianPresidentEduardo Rodríguez Veltzé.;1;0;4773,25;0,34009
Brazil;Guatemala;2005;September;12;12/09/2005;2005;September;13;13/09/2005;Luiz Inácio Lula da Silva;President;Participated in the Latin American Conference Against Hunger within the framework of the Millennium Goals.Met with PresidentÓscar Berger.Meeting with Brazilian and local politicians and businessmen.;1;0;4773,25;0,34009
Brazil;United States;2005;September;13;13/09/2005;2005;September;15;15/09/2005;Luiz Inácio Lula da Silva;President;Although he did not make the opening speech atthe United Nations General Assembly, he participated in it.;1;0;4773,25;0,34009
Brazil;Portugal;2005;October;13;13/10/2005;2005;October;13;13/10/2005;Luiz Inácio Lula da Silva;President;"Participated in the ""Luso-Brazilian summit"".Meeting with the Portuguese Prime Minister,José Sócrates.He met with representatives of the Brazilian community.";1;0;4773,25;0,34009
Brazil;Spain;2005;October;14;14/10/2005;2005;October;15;15/10/2005;Luiz Inácio Lula da Silva;President;Participated inthe Ibero-American conference.Meetings with KingJuan Carlos Iof Spain andCosta RicanPresidentAbel Pacheco.;1;0;4773,25;0,34009
Brazil;Italy;2005;October;16;16/10/2005;2005;October;17;17/10/2005;Luiz Inácio Lula da Silva;President;State visit.Meeting with representatives of the Italian civil community.Meeting with PresidentCarlo Azeglio Ciampi.Met with businessmen.;1;0;4773,25;0,34009
Brazil;Russia;2005;October;18;18/10/2005;2005;October;18;18/10/2005;Luiz Inácio Lula da Silva;President;State visit.Meeting with PresidentVladimir Putin, and meeting with the Brazilian community.;1;0;4773,25;0,34009
Brazil;Argentina;2005;November;4;04/11/2005;2005;November;5;05/11/2005;Luiz Inácio Lula da Silva;President;Participated in thesummit of the Americas.Meeting with various Heads of state, including Argentine PresidentNéstor Kirchnerand President ofMexico,Vicente Fox.;1;0;4773,25;0,34009
Brazil;Argentina;2005;November;30;30/11/2005;2005;November;30;30/11/2005;Luiz Inácio Lula da Silva;President;Official visit.Met with PresidentNéstor Kirchner.;1;0;4773,25;0,34009
Brazil;Uruguay;2005;December;8;08/12/2005;2005;December;9;09/12/2005;Luiz Inácio Lula da Silva;President;Participated in the summit meeting ofMercosurHeads of State .Meeting with PresidentTabaré Vázquez.Participated in a trilateral meeting with the presidents ofArgentina,Néstor Kirchnerand the president ofVenezuela,Hugo Chávez.;1;0;4773,25;0,34009
Brazil;Colombia;2005;December;14;14/12/2005;2005;December;14;14/12/2005;Luiz Inácio Lula da Silva;President;State visit.Meeting with PresidentÁlvaro Uribe.Visit the Supreme Court and the National Congress of Colombia.;1;0;4773,25;0,34009
Brazil;Bolivia;2006;January;22;22/01/2006;2006;January;22;22/01/2006;Luiz Inácio Lula da Silva;President;He participated in the inauguration ceremony of the country's new president,Evo Morales.;0;0;5866,1;2,70693
Brazil;Algeria;2006;February;8;08/02/2006;2006;February;9;09/02/2006;Luiz Inácio Lula da Silva;President;State visit.Meeting with the head of government,Ahmed Ouyahia.He also met with the President of the Council of the Nation, and the President of the National People's Assembly.Meeting with the President ofBenin,Mathieu Kérékou.;0;0;5866,1;2,70693
Brazil;Botswana;2006;February;11;11/02/2006;2006;February;11;11/02/2006;Luiz Inácio Lula da Silva;President;State visit.Meeting with PresidentFestus Mogaeand local politicians.;0;0;5866,1;2,70693
Brazil;South Africa;2006;February;11;11/02/2006;2006;February;12;12/02/2006;Luiz Inácio Lula da Silva;President;Participated in the Progressive Governance summit.Meeting with the Prime Minister of theUnited Kingdom,Tony Blair.;0;0;5866,1;2,70693
Brazil;United Kingdom;2006;March;7;07/03/2006;2006;March;9;09/03/2006;Luiz Inácio Lula da Silva;President;State visit.Meeting withQueen Elizabeth II.Participated in the Brazil-UK Business forum.He met with local politicians and businessmen.;0;0;5866,1;2,70693
Brazil;Chile;2006;March;11;11/03/2006;2006;March;11;11/03/2006;Luiz Inácio Lula da Silva;President;He participated in the inauguration ceremony of the president-elect,Michele Bachelet.Meeting with the Prime Minister ofNew Zealand,Helen Clark, and with the Prime Minister ofMorocco,Driss Jettou.;0;0;5866,1;2,70693
Brazil;Argentina;2006;May;4;04/05/2006;2006;May;4;04/05/2006;Luiz Inácio Lula da Silva;President;Joint meeting with PresidentNéstor Kirchner,BolivianPresidentEvo MoralesandVenezuelanPresidentHugo Chávez.;0;0;5866,1;2,70693
Brazil;Austria;2006;July;12;12/07/2006;2006;July;14;14/07/2006;Luiz Inácio Lula da Silva;President;Participated in theLatin AmericaandCaribbean–European Unionsummit .Meetings with German ChancellorAngela Merkel, British Prime MinisterTony Blairand other Heads of State and Government.;0;0;5866,1;2,70693
Brazil;Venezuela;2006;July;4;04/07/2006;2006;July;4;04/07/2006;Luiz Inácio Lula da Silva;President;Official visit.He participated in the declaration ceremony of Venezuela's accession protocol toMercosur.;0;0;5866,1;2,70693
Brazil;Russia;2006;July;16;16/07/2006;2006;July;17;17/07/2006;Luiz Inácio Lula da Silva;President;Participated in theG8 summit.Bilateral meetings with the American president,George W. Bush, with the president ofSouth Africa,Thabo Mbeki, with the president ofMexico,Vicente Foxand with other Heads of state.;0;0;5866,1;2,70693
Brazil;Argentina;2006;July;20;20/07/2006;2006;July;21;21/07/2006;Luiz Inácio Lula da Silva;President;Participated in the Presidential summit ofMercosurHeads of State .Meeting with PresidentNéstor Kirchner, with the President ofParaguay,Nicanor Duarte, with the Bolivian President,Evo Moralesand with the President ofChile,Michele Bachelet.;0;0;5866,1;2,70693
Brazil;Peru;2006;July;27;27/07/2006;2006;July;28;28/07/2006;Luiz Inácio Lula da Silva;President;He participated in the inauguration ceremony of the president-elect,Alan García.Meeting with the President ofHonduras,Manuel Zelaya.;0;0;5866,1;2,70693
Brazil;United States;2006;September;19;19/09/2006;2006;September;19;19/09/2006;Luiz Inácio Lula da Silva;President;Participated inthe United Nations General Assembly.;0;0;5866,1;2,70693
